Country Code,Country Name,IncomeGroup,Region
AGO,Angola,Lower middle income,Middle Africa
BDI,Burundi,Low income,Eastern Africa
BEN,Benin,Lower middle income,Western Africa
BFA,Burkina Faso,Low income,Western Africa
BWA,Botswana,Upper middle income,Southern Africa
CAF,Central African Republic,Low income,Middle Africa
CIV,Côte d’Ivoire,Lower middle income,Western Africa
CMR,Cameroon,Lower middle income,Middle Africa
COD,DR Congo,Low income,Middle Africa
COG,Congo,Lower middle income,Middle Africa
COM,Comoros,Lower middle income,Eastern Africa
CPV,Cabo Verde,Lower middle income,Western Africa
DJI,Djibouti,Lower middle income,Eastern Africa
DZA,Algeria,Lower middle income,Northern Africa
EGY,Egypt,Lower middle income,Northern Africa
ERI,Eritrea,Low income,Eastern Africa
ETH,Ethiopia,Low income,Eastern Africa
GAB,Gabon,Upper middle income,Middle Africa
GHA,Ghana,Lower middle income,Western Africa
GIN,Guinea,Low income,Western Africa
GMB,Gambia,Low income,Western Africa
GNB,Guinea-Bissau,Low income,Western Africa
GNQ,Equatorial Guinea,Upper middle income,Middle Africa
KEN,Kenya,Lower middle income,Eastern Africa
LBR,Liberia,Low income,Western Africa
LBY,Libya,Upper middle income,Northern Africa
LSO,Lesotho,Lower middle income,Southern Africa
MAR,Morocco,Lower middle income,Northern Africa
MDG,Madagascar,Low income,Eastern Africa
MLI,Mali,Low income,Western Africa
MOZ,Mozambique,Low income,Eastern Africa
MRT,Mauritania,Lower middle income,Western Africa
MUS,Mauritius,Upper middle income,Eastern Africa
MWI,Malawi,Low income,Eastern Africa
NAM,Namibia,Upper middle income,Southern Africa
NER,Niger,Low income,Western Africa
NGA,Nigeria,Lower middle income,Western Africa
RWA,Rwanda,Low income,Eastern Africa
SDN,Sudan,Low income,Northern Africa
SEN,Senegal,Lower middle income,Western Africa
SLE,Sierra Leone,Low income,Western Africa
SOM,Somalia,Low income,Eastern Africa
SSD,South Sudan,Low income,Eastern Africa
STP,Sao Tome & Principe,Lower middle income,Middle Africa
SWZ,Eswatini,Lower middle income,Southern Africa
SYC,Seychelles,High income,Eastern Africa
TCD,Chad,Low income,Middle Africa
TGO,Togo,Low income,Western Africa
TUN,Tunisia,Lower middle income,Northern Africa
TZA,Tanzania,Lower middle income,Eastern Africa
UGA,Uganda,Low income,Eastern Africa
ZAF,South Africa,Upper middle income,Southern Africa
ZMB,Zambia,Low income,Eastern Africa
ZWE,Zimbabwe,Lower middle income,Eastern Africa
