Code,Year,Life expectancy at birth (historical)
DZA,1923,28.82
DZA,1933,31.22
DZA,1943,33.72
DZA,1950,42.4
DZA,1951,42.5
DZA,1952,42.9
DZA,1953,42.9
DZA,1954,40.2
DZA,1955,40.4
DZA,1956,40.3
DZA,1957,40.4
DZA,1958,40.4
DZA,1959,40.5
DZA,1960,40.5
DZA,1961,40.5
DZA,1962,39.3
DZA,1963,42.9
DZA,1964,42.8
DZA,1965,42.7
DZA,1966,42.5
DZA,1967,42.6
DZA,1968,42.6
DZA,1969,42.8
DZA,1970,43.2
DZA,1971,43.7
DZA,1972,44.3
DZA,1973,45.1
DZA,1974,46
DZA,1975,47
DZA,1976,48
DZA,1977,49.2
DZA,1978,50.4
DZA,1979,51.8
DZA,1980,53.3
DZA,1981,55.3
DZA,1982,57.4
DZA,1983,59.5
DZA,1984,61.7
DZA,1985,63.6
DZA,1986,65.2
DZA,1987,65.8
DZA,1988,67
DZA,1989,67.1
DZA,1990,67.4
DZA,1991,67.7
DZA,1992,67.8
DZA,1993,67.7
DZA,1994,67.4
DZA,1995,67.5
DZA,1996,68.7
DZA,1997,69.2
DZA,1998,69.5
DZA,1999,70
DZA,2000,70.5
DZA,2001,70.8
DZA,2002,71.2
DZA,2003,71.3
DZA,2004,71.8
DZA,2005,72.1
DZA,2006,72.3
DZA,2007,72.6
DZA,2008,72.9
DZA,2009,73.6
DZA,2010,73.8
DZA,2011,74.1
DZA,2012,74.2
DZA,2013,74.6
DZA,2014,75.1
DZA,2015,75.6
DZA,2016,75.7
DZA,2017,75.7
DZA,2018,76.1
DZA,2019,76.5
DZA,2020,74.5
DZA,2021,76.4
AGO,1940,26.98
AGO,1950,36.3
AGO,1951,36.4
AGO,1952,36.5
AGO,1953,36.7
AGO,1954,36.9
AGO,1955,37.1
AGO,1956,37.3
AGO,1957,37.5
AGO,1958,37.7
AGO,1959,38
AGO,1960,38.2
AGO,1961,37.3
AGO,1962,37.5
AGO,1963,37.8
AGO,1964,38.1
AGO,1965,38.5
AGO,1966,38.8
AGO,1967,39.1
AGO,1968,39.5
AGO,1969,39.8
AGO,1970,40.2
AGO,1971,40.6
AGO,1972,40.9
AGO,1973,41.3
AGO,1974,41.7
AGO,1975,41.2
AGO,1976,41.2
AGO,1977,41.4
AGO,1978,41.8
AGO,1979,42.2
AGO,1980,42.4
AGO,1981,42.8
AGO,1982,43.1
AGO,1983,42.1
AGO,1984,42.4
AGO,1985,42.6
AGO,1986,42.8
AGO,1987,40.9
AGO,1988,41.5
AGO,1989,41.8
AGO,1990,41.9
AGO,1991,43.8
AGO,1992,42.2
AGO,1993,42.1
AGO,1994,43.4
AGO,1995,45.8
AGO,1996,46
AGO,1997,46.3
AGO,1998,45.1
AGO,1999,45.4
AGO,2000,46
AGO,2001,46.6
AGO,2002,47.4
AGO,2003,49.6
AGO,2004,50.6
AGO,2005,51.6
AGO,2006,52.4
AGO,2007,53.6
AGO,2008,54.6
AGO,2009,55.8
AGO,2010,56.7
AGO,2011,57.6
AGO,2012,58.6
AGO,2013,59.3
AGO,2014,60
AGO,2015,60.7
AGO,2016,61.1
AGO,2017,61.7
AGO,2018,62.1
AGO,2019,62.4
AGO,2020,62.3
AGO,2021,61.6
BEN,1950,35
BEN,1951,35.2
BEN,1952,35.5
BEN,1953,35.8
BEN,1954,36.1
BEN,1955,36.4
BEN,1956,36.8
BEN,1957,37.1
BEN,1958,37.5
BEN,1959,37.9
BEN,1960,38.2
BEN,1961,38.5
BEN,1962,38.9
BEN,1963,39.3
BEN,1964,39.8
BEN,1965,40.2
BEN,1966,40.6
BEN,1967,41.1
BEN,1968,41.5
BEN,1969,41.8
BEN,1970,42.2
BEN,1971,42.6
BEN,1972,43.2
BEN,1973,43.6
BEN,1974,44.1
BEN,1975,44.7
BEN,1976,45.5
BEN,1977,46.2
BEN,1978,47
BEN,1979,47.4
BEN,1980,47.9
BEN,1981,48.3
BEN,1982,48.8
BEN,1983,49.3
BEN,1984,49.7
BEN,1985,50.4
BEN,1986,51.1
BEN,1987,51.7
BEN,1988,52.3
BEN,1989,52.7
BEN,1990,53.3
BEN,1991,53.6
BEN,1992,54.1
BEN,1993,54.5
BEN,1994,54.9
BEN,1995,55.3
BEN,1996,55.6
BEN,1997,56
BEN,1998,56.2
BEN,1999,56.5
BEN,2000,56.6
BEN,2001,56.7
BEN,2002,56.6
BEN,2003,56.7
BEN,2004,56.8
BEN,2005,57.1
BEN,2006,57.5
BEN,2007,57.7
BEN,2008,57.9
BEN,2009,58
BEN,2010,58.4
BEN,2011,58.5
BEN,2012,58.7
BEN,2013,59
BEN,2014,59.1
BEN,2015,59.4
BEN,2016,59.5
BEN,2017,59.9
BEN,2018,60.1
BEN,2019,60.5
BEN,2020,60.1
BEN,2021,59.8
BWA,1950,44.9
BWA,1951,45.3
BWA,1952,45.9
BWA,1953,46.5
